HomeTeam,ScoreHome,ScoreAway,AwayTeam,MatchTime
Fiorentina,1,0,NK Celje,2025-04-17 22:56:56
Jagiellonia Bialystok,0,0,Real Betis,2025-04-17 22:56:56
Al Ettifaq,1,0,Al Riyadh,2025-04-17 22:56:56
Al Hilal,1,0,Al Khaleej,2025-04-17 22:56:56
Al Shabab,0,0,Al Akhdoud,2025-04-17 22:56:56
FC Midtjylland,2,1,FC Copenhagen,2025-04-17 22:56:56
Sibenik,0,2,Dinamo Zagreb,2025-04-17 22:56:56
Uzbekistan U17,0,0,North Korea U17,2025-04-17 22:56:56
Posusje,2,0,FK Velez Mostar,2025-04-17 22:56:56
Pirin Blagoevgrad,0,2,Montana,2025-04-17 22:56:56
Ghazl Al Mehalla,0,0,Al Masry,2025-04-17 22:56:56
ZED FC,0,3,Ceramica Cleopatra,2025-04-17 22:56:56
NSI Runavik,0,0,FC Suduroy,2025-04-17 22:56:56
Dinamo Tbilisi,2,0,Dila Gori,2025-04-17 22:56:56
FC Schweinfurt,0,0,Bayern Munich II,2025-04-17 22:56:56
Bremer SV,2,4,Meppen,2025-04-17 22:56:56
Oldenburg,1,2,Blau-Weiss Lohne,2025-04-17 22:56:56
SSV Jeddeloh II,0,0,Teutonia Ottensen,2025-04-17 22:56:56
BFC Dynamo,0,0,FC Eilenburg,2025-04-17 22:56:56
Greifswalder FC,0,1,VSG Altglienicke,2025-04-17 22:56:56
Kickers Offenbach,2,0,FC 08 Villingen,2025-04-17 22:56:56
TSV Steinbach Haiger,1,0,FC Giessen,2025-04-17 22:56:56
IBV Vestmannaeyjar,3,0,Vikingur Reykjavik,2025-04-17 22:56:56
Al Minaa,0,0,Al Shorta,2025-04-17 22:56:56
Hapoel Nir Ramat HaSharon,0,0,Hapoel Afula,2025-04-17 22:56:56
Norrby,1,1,Skoevde AIK,2025-04-17 22:56:56
